15/16 goals,15/16 minutes,16/17 goals,16/17 minutes,17/18 goals,17/18 minutes,name
6,1536,1,724,1,523,Leonardo Ulloa
4,2171,12,2366,1,434,Sam Baldock
5,934,23,3627,13,1758,Glenn Murray
17,3302,14,1997,2,1076,Tomer Hemed
6,1341,3,1856,5,1913,Ryan Fraser
5,1821,7,1536,4,1221,Junior Stanislas
5,1580,2,1451,1,1167,Marc Pugh
4,2245,0,1145,1,1890,Jordon Ibe
5,770,6,1410,8,1608,Callum Wilson
14,1602,0,442,2,808,Lys Mousset
18,2641,15,3458,3,932,Jermain Defoe
12,3481,15,3934,2,2504,Tom Ince
2,1965,2,3510,5,2073,Rajiv van La Parra
1,1717,0,749,0,1126,Sean Scannell
11,2683,15,3036,8,1670,Steve Mounié
16,3958,3,824,5,1715,Laurent Depoitre
0,269,13,3980,1,1369,Elias Kachunga
2,483,11,2381,0,1434,Collin Quaner
1,367,13,2818,11,2817,Ryan Babel
4,1555,5,3062,4,1187,Jeremain Lens
6,2164,0,449,,,Gökhan Töre
5,2421,6,3505,4,2276,Ricardo Quaresma
14,2489,12,2168,0,0,Cyle Larin
12,2160,10,3037,13,1577,Álvaro Negredo
4,813,23,2455,13,1722,Vágner Love
1,377,9,1582,4,504,Mustafa Pektemek
7,2708,8,2628,7,1977,Garry Rodrigues
10,3572,11,2520,5,1295,Yasin Öztekin
5,2042,4,1508,6,1562,Sofiane Feghouli
11,1141,7,914,8,926,Sinan Gümüs
7,1812,21,2859,28,2369,Bafétimbi Gomis
14,2197,12,2042,4,907,Eren Derdiyok
4,2715,10,2536,6,1987,Mathieu Valbuena
12,2924,7,1724,3,1573,Aatif Chahechouhe
0,90,1,118,1,450,Samed Karakoc
32,3971,6,1351,3,844,Vincent Janssen
8,3378,4,812,6,825,Roberto Soldado
25,3105,12,1410,8,1019,Fernandão
2,1200,13,1847,1,232,Arda Turan
5,1519,5,1102,4,1392,Kerim Frei
10,3184,10,2350,4,1430,Eljero Elia
2,1874,3,2041,0,554,Tunay Torun
11,3175,20,3165,1,269,Riad Bajić
1,816,7,1200,14,2310,Emmanuel Adebayor
4,1454,6,1528,6,1016,Mevlüt Erdinc
5,2456,3,2689,4,1395,Olcay Sahan
6,1991,3,2200,0,618,Fabián Castillo
21,3041,8,1080,18,1536,Burak Yilmaz
21,3199,10,2443,12,816,Hugo Rodallega
2,1462,8,2343,5,1020,Dame N'Doye
10,2438,2,1954,4,1250,Jirès Kembo-Ekoko
2,989,5,1602,2,1088,Gheorghe Grozav
4,1742,2,1726,0,576,Joshua John
2,1834,3,2362,5,1303,Dzon Delarge
4,1338,3,1163,,,Sercan Yildirim
14,2353,15,2447,1,870,Moussa Sow
4,411,7,2073,0,538,Kubilay Kanatsizkus
10,2418,2,1596,6,2159,Bogdan Stancu
8,1219,1,870,1,509,Sinan Bakis
15,2950,12,3522,13,2447,Júnior Fernándes
8,2424,3,3263,5,1742,Lucas Villafañez
10,1664,4,2051,4,867,Mbilla Etame
16,2154,6,1041,5,970,Douglas
8,1588,3,1212,1,619,Wanderson a
9,2051,4,1027,,,Glynor Plet
2,258,2,1520,3,1998,Moryké Fofana
3,3255,5,3459,5,2719,Ömer Ali Sahiner
7,2304,1,1728,2,245,Volkan Sen
3,1176,21,3367,16,2102,Adis Jahovic
20,2837,18,2512,7,1652,Samuel Eto'o
5,1628,6,1622,6,1314,Mustapha Yatabaré
2,2222,2,493,6,2260,Ryan Mendes
3,1728,0,1210,2,415,Silvestre Varela
4,2914,3,3446,3,909,William
3,721,8,1047,4,628,Asamoah Gyan
4,1338,5,1377,8,780,Artem Kravets
18,3330,9,1830,2,709,Nikola Stojiljkovic
7,2667,6,2833,14,2248,Umut Bulut
0,403,7,3267,1,1560,Yoan Gouffran
1,421,2,623,0,119,Muhammed Enes Durmus
17,1805,1,24,4,494,Demba Ba
0,1110,8,2498,2,541,Nabil Ghilas
7,988,3,627,1,107,Ömer Sismanoglu
12,2080,9,2508,3,378,Robinho
14,2109,8,1356,2,733,Cyriac
4,1151,3,2287,5,1589,Thievy Bifouma
7,1812,2,105,11,2005,Arouna Koné
11,2467,2,1159,4,486,Muhammet Demir
0,504,6,1648,5,966,Elvis Manu
4,2798,2,1635,3,1536,Ahmet Ilhan Özek
12,2610,3,621,4,1207,Jaílton Paraíba
7,1205,2,406,8,1566,Petar Skuletic
7,1491,5,1764,3,747,Deniz Yilmaz
8,2427,9,2844,6,1950,Aminu Umar
1,400,17,3078,8,1994,Serdar Gürler
13,1809,10,1695,7,1129,Sokol Cikalleshi
10,1525,7,1492,,,Raul Rusescu
11,2371,6,1776,1,663,Mehmet Batdal
11,2313,23,3603,,,Ali ĂzgĂźn
5,1175,6,1687,4,2063,Maicón
14,3625,13,2096,0,630,Milan Jevtovic
5,1617,6,2010,7,1515,Souleymane Doukara
9,2604,3,799,2,1067,Moestafa El Kabir
14,2976,10,2508,7,1781,Deniz Kadah
10,1414,0,220,7,1176,Emre Güral
5,2975,1,1379,2,1415,Daniel Larsson
3,1134,0,1381,1,945,Onur Ayik
8,1315,10,1403,1,378,Geoffrey Bia
,,0,243,6,1286,Paulo Henrique
16,2741,8,1527,8,1531,Evgen Seleznev
4,260,6,2384,0,467,Marvin Emnes
5,2284,3,1111,4,1172,Mugdat Celik
3,2110,13,2430,2,1751,Adem Büyük
2,834,2,1727,0,669,Berk Yildiz
0,625,8,2203,0,719,Issiar Dia
6,1300,5,1795,4,808,Emanuel Dening
10,2221,20,2968,11,1965,Khalid Boutaïb
2,879,2,476,0,137,Gilberto
0,1666,10,1955,4,1043,Eren Tozlu
3,1373,5,2500,4,1455,Jhon Murillo
